title,org,level,term,closing_date,posted_date
"SENIOR ENGINEER, COMMUTER FACILITIES MANAGEMENT (CIVIL)",Land Transport Authority,05-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
"ASSISTANT MANAGER, BUS ASSETS (TECHNOLOGY & ASSETS MANAGEMENT) (9-MONTH TEMPORAR",Land Transport Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
"SENIOR ASSISTANT ENGINEER, TRAFFIC LIGHTS FACILITY",Land Transport Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
"DEPUTY MANAGER / ASSISTANT MANAGER, PARKING ENFORCEMENT",Land Transport Authority,03-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
ACTIVE MOBILITY ENFORCEMENT OFFICER,Land Transport Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
"DEPUTY MANAGER/ ASSISTANT MANAGER, ACTIVE MOBILITY ENFORCEMENT",Land Transport Authority,03-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
"ENGINEER, TRAFFIC SCHEMES DESIGN DEVELOPMENT",Land Transport Authority,02-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
ASSISTANT MANAGER (SINGAPORE BUS ACADEMY) (1-YEAR TEMPORARY CONTRACT),Land Transport Authority,01-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
Senior Executive / (Senior) Assistant Director (Strategic Planning),Ministry of Law,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
Office of Finance - Executive [1 Year Contract],Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
Office of Student Support (OSS) Administration – School Counsellor,Republic Polytechnic,05-05 year(s),Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Office of Student Support (OSS) Administration – SEN Counsellor,Republic Polytechnic,05-05 year(s),Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Office of Corporate Communications - Snr Exec/Asst Mgr (Digital Media Marketing),Republic Polytechnic,02-02 year(s),Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Office of Procurement - Assistant Manager/Deputy Manager/Manager,Republic Polytechnic,05-05 year(s),Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
Intern (IT Applications),ISEAS -Yusof Ishak Institute,Entry level,Internship,Closing in 2  day(s),2 week(s) ago
Engineer/Executive Engineer (Producer Responsibility Department),National Environment Agency,00-02 year(s),Permanent/Contract,Closing in 2  day(s),2 week(s) ago
"Devt Partner, Innovation Eco-System Devt (1-Year Contract)",Enterprise Singapore,Entry level,Contract,Closing on 22 Mar 2022,5 day(s) ago
"Devt Partner / Senior Devt Partner, Trade / Agri-commodities",Enterprise Singapore,Entry level,Permanent,Closing on 22 Mar 2022,5 day(s) ago
"Assistant Director (Compensation and Organisational Design), HR Policy, PSD",Public Service Division,Entry level,Contract,Closing in 2  day(s),2 week(s) ago
Analyst/Senior Analyst/Lead Analyst (Compensation & Organisational Design),Public Service Division,Entry level,Permanent/Contract,Closing today,2 week(s) ago
Scientist / Senior Scientist - Centre for Animal & Veterinary Sciences,National Parks Board,Entry level,Permanent/Contract,Closing today,2 week(s) ago
"Assistant Manager/ Deputy Manager, Registration Division",Singapore Medical Council,Entry level,Contract,Closing in 6  day(s),2 week(s) ago
"Manager/Senior Manager (Partnerships & Engagement), Founders’ Memorial",National Heritage Board,03-00 year(s),Permanent/Contract,Closing today,2 week(s) ago
"ASSISTANT MANAGER, MARKETING COMMUNICATIONS 1",Land Transport Authority,02-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
"EXECUTIVE ENGINEER/ ENGINEER, RESIGNALLING",Land Transport Authority,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
"SENIOR/ EXECUTIVE ENGINEER, PROJECTS SYSTEM SUPPORT",Land Transport Authority,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
"SENIOR / EXECUTIVE ENGINEER, SYSTEMS ASSURANCE",Land Transport Authority,03-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
"EXECUTIVE ENGINEER/ ENGINEER, SIGNALS, COMMUNICATIONS AND CONTROL",Land Transport Authority,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
"EXECUTIVE ENGINEER/ ENGINEER, POWER SUPPLY AND ELECTRICAL SERVICES",Land Transport Authority,03-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
"SENIOR/ EXECUTIVE ENGINEER, DEPOT EQUIPMENT & SERVICE VEHICLES DEVELOPMENT",Land Transport Authority,03-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
"SENIOR / EXECUTIVE ENGINEER / ENGINEER, COMMUTER INFRASTRUCTURE DEVELOPMENT",Land Transport Authority,02-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
"DEPUTY/ ASSISTANT MANAGER, TRANSPORT RESEARCH",Land Transport Authority,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
"Associate/Assistant Director, Payments Ecosystem Mgr. (Contract till 30 Dec 23)",Monetary Authority of Singapore,Entry level,Contract,Closing on 25 Mar 2022,2 week(s) ago
Senior Performance Management Executive,Ministry of Education,Entry level,Contract,Closing on 25 Mar 2022,2 week(s) ago
Educational Psychologist,Ministry of Education,Entry level,Contract,Closing on 25 Mar 2022,2 week(s) ago
"[Temp - 6 months] Assistant/Senior Assistant Executive (Talent Attachment), LD",Public Service Division,Entry level,Contract,Closing in 3  day(s),1 week(s) ago
MANAGER / DEPUTY MANAGER / ASSISTANT MANAGER (THREAT INTELLIGENCE & RESPONSE),Land Transport Authority,08-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
PRINCIPAL /SENIOR /EXECUTIVE CYBERSECURITY ENGINEER (SECURITY DESIGN & TRAINING),Land Transport Authority,05-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
Senior Executive / Assistant Director (International Partnerships),Ministry of Law,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
Senior Executive / Assistant Director (Data Office),Ministry of Law,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
Senior Officer - People Engagement (2-Year Fixed Contract),Institute of Technical Education,Entry level,Fixed Terms,Closing in 2  day(s),2 week(s) ago
Senior Executive / (Senior) Assistant Director (Transformation Office),Ministry of Law,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
Head (HR Business Partner),Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing today,2 week(s) ago
"DEPUTY / ASSISTANT MANAGER, REGULATORY POLICY",Land Transport Authority,03-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
" ASSISTANT MANAGER, ROAD PRICING SYSTEMS",Land Transport Authority,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
"School of Sports, Health and Leisure - Lecturer/Snr Lecturer (OAL)",Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
"School of Sports, Health and Leisure - Project Staff (Machine Learning)",Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
"School of Sports, Health and Leisure - Lecturer (Sport Coaching)",Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
"School of Sports, Health and Leisure - Lecturer (Sport & Exercise Science)",Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
"School of Sports, Health and Leisure - Associate Lecturer (Sports Management)",Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
"School of Sports, Health, and Leisure - Associate Lecturer (Health Service Mgmt)",Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
Lead Engineer / Engineer (Prototype Development),Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 23 Mar 2022,2 week(s) ago
"Deputy Director/Asst. Director/Associate, BCM Supervision & Cyber Cooperation",Monetary Authority of Singapore,Entry level,Permanent,Closing on 22 Mar 2022,2 week(s) ago
Senior Legal Counsel / Legal Counsel (Construction & Disputes),JTC Corporation,Entry level,Permanent/Contract,Closing on 23 Mar 2022,2 week(s) ago
"Manager/Senior Manager, Statutory Reporting, Finance, Assurance & Corporate Exce",Sport Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
Director (Assurance),Accountant-General's Department,Entry level,Permanent,Closing on 23 Mar 2022,2 week(s) ago
Marine Surveyor /Senior Marine Surveyor (Flag State Control / Port State Control,Maritime and Port Authority of Singapore,Entry level,Permanent/Contract,Closing on 31 Mar 2022,2 week(s) ago
"Section Manager, Payroll and Claims",Vital,00-02 year(s),Contract,Closing in 6  day(s),2 week(s) ago
Events Manager,Prime Minister's Office,Entry level,Permanent/Contract,Closing on 23 Mar 2022,2 week(s) ago
Senior/Executive Application Infrastructure Manager,Government Technology Agency,Entry level,Permanent,Closing on 22 Feb 2023,2 week(s) ago
Assistant Director/ Senior Manager - People Operations,Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),2 week(s) ago
Events Executive,Prime Minister's Office,Entry level,Permanent/Contract,Closing on 23 Mar 2022,2 week(s) ago
"Temp, Content and Web Developer (6 months)",Enterprise Singapore,Entry level,Casual,Closing on 24 Mar 2022,4 day(s) ago
"Temporary Executive, Enterprise Academy (6 months)",Enterprise Singapore,Entry level,Casual,Closing on 24 Mar 2022,4 day(s) ago
Senior/ Manager (IT Resource Management),Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,2 week(s) ago
Lead/ Senior Consultant (IT Asset Management),Central Provident Fund Board,Entry level,Contract,Closing on 31 Mar 2022,2 week(s) ago
Legal Counsel,Council for Estate Agencies,Entry level,Permanent/Contract,Closing on 21 Mar 2022,2 week(s) ago
Senior Manager/Manager/Assistant Manager (IT Systems Planning) [1-year contract],Singapore Medical Council,Entry level,Contract,Closing on 20 Mar 2022,2 week(s) ago
"Principal Executive, Internal Audit ( 8 Months Contract)",Singapore Land Authority,Entry level,Contract,Closing on 28 Mar 2022,2 week(s) ago
"Senior Executive, Commercial Leasing 1 (11 Months Contract)",Singapore Land Authority,Entry level,Contract,Closing on 28 Mar 2022,2 week(s) ago
Admin Support/ Office Services,Singapore Land Authority,Entry level,Casual,Closing in 2  day(s),5 day(s) ago
Manager (Leadership Development & Engagement / Scholarships & Internships),Info-communications Media Development Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
"Senior Executive / Manager, Learning & Development Policy and Programmes",Majlis Ugama Islam Singapura,04-00 year(s),Permanent/Contract,Closing on 21 Mar 2022,2 week(s) ago
"Executive / Senior Executive, Organisation & Service Excellence",Majlis Ugama Islam Singapura,03-05 year(s),Permanent/Contract,Closing in 2  day(s),2 week(s) ago
Manager (Record & Information Management),JTC Corporation,Entry level,Permanent,Closing in 2  day(s),2 week(s) ago
Senior / Principal Inspector – Practice Monitoring Department,Accounting and Corporate Regulatory Authority,Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
"Assistant/Deputy Director, Cybersecurity Consultancy (SG Tech Stack)",Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),2 week(s) ago
SOC Content Management Specialist,Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),2 week(s) ago
Interactive Digital Media Engineer (BIM),Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),2 week(s) ago
ICT Category Manager  (Bulk Tender),Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),2 week(s) ago
"Director, Technology Management Office",Government Technology Agency,Entry level,Permanent,Closing on 21 Mar 2022,2 week(s) ago
"Data Engineer / Associate Data Engineer, Data Science",Singapore Tourism Board,03-05 year(s),Permanent,Closing on 25 Mar 2022,2 week(s) ago
"Compliance Manager, Financial Reporting Information Department",Accounting and Corporate Regulatory Authority,Entry level,Permanent/Contract,Closing on 23 Mar 2022,5 day(s) ago
"Executive, (Work Pass Online Account, Admin Fee & e-Payment Management)",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 26 Mar 2022,2 week(s) ago
Associate Lecturer (Life Skills and Sporting Activities),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
Executive Manager (Design for Manufacturing and Assembly Department),Building and Construction Authority,03-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
PRINCIPAL ENGINEER / SENIOR ENGINEER ROAD TUNNEL FACILITY,Land Transport Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
"EXECUTIVE ENGINEER/ ENGINEER, VERTICAL TRANSPORTATION & TUNNEL",Land Transport Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
ENGINEER (TUNNEL & BRIDGE)  (1-YEAR TEMPORARY CONTRACT),Land Transport Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
"MANAGER, KNOWLEDGE MANAGEMENT",Land Transport Authority,02-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
"Principal Compliance Manager, Sustainability Reporting (Financial) Unit",Accounting and Corporate Regulatory Authority,Entry level,Permanent/Contract,Closing on 25 Mar 2022,2 day(s) ago
"Senior Compliance Manager/Compliance Manager, Sustainability Reporting (Financia",Accounting and Corporate Regulatory Authority,Entry level,Permanent/Contract,Closing on 25 Mar 2022,2 day(s) ago
"Visiting Fellow, Regional Social and Cultural Studies",ISEAS -Yusof Ishak Institute,05-08 year(s),Contract,Closing on 30 Mar 2022,2 week(s) ago
"Visiting Fellow, Regional Social and Cultural Studies",ISEAS -Yusof Ishak Institute,05-08 year(s),Contract,Closing on 30 Mar 2022,2 week(s) ago
"Assistant Manager/Manager, Information Resource Department (1-Year Contract)",Accounting and Corporate Regulatory Authority,Entry level,Permanent/Contract,Closing on 25 Mar 2022,2 day(s) ago
"DEPUTY / ASSISTANT MANAGER, HUMAN RESOURCE (COMPETENCIES & CAREER DEVELOPMENT)",Land Transport Authority,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
"ASSISTANT MANAGER, CONTRACTS (RAIL CORE SYSTEMS)",Land Transport Authority,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
Executive / Senior Manager (Manpower Planning Department),Building and Construction Authority,03-05 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
"Senior Manager / Assistant Vice President, Innovation Economy (Strategy Group)",Economic Development Board,Entry level,Permanent,Closing on 31 May 2022,2 week(s) ago
"Senior Associate, Environmental Sustainability",Economic Development Board,Entry level,Permanent,Closing on 31 May 2022,2 week(s) ago
Temp Applications Consultant (Infocom Technology Department),Building and Construction Authority,01-00 year(s),Casual,Closing on 23 Mar 2022,2 week(s) ago
Senior Research Executive / Research Executive (Temporary),Temasek Polytechnic,Entry level,Casual,Closing on 24 Mar 2022,2 week(s) ago
"Lead Engineer / Engineer, Ops Systems Engineering, Ops Systems Sustainment Centr",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 23 Mar 2022,2 week(s) ago
"Assistant Manager / Manager, Infrastructure Planning",Majlis Ugama Islam Singapura,05-00 year(s),Permanent/Contract,Closing in 2  day(s),2 week(s) ago
"Senior / Assistant Registrar of Trade, Labour Relations and Workplaces Division",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 20 Mar 2022,2 week(s) ago
"Senior Manager/Assistant Vice President, Human Capital Division",Economic Development Board,Entry level,Permanent,Closing on 31 May 2022,2 week(s) ago
"Project Officer (Data Preparation & Migration), HROD TPR (1 year contract)",Economic Development Board,Entry level,Contract,Closing on 31 May 2022,2 week(s) ago
JTC Internship - Marketing Intern (PDD),JTC Corporation,Entry level,Internship,Closing in 5  day(s),2 week(s) ago
"Project Officer (Data Preparation & System Administration), HROD TPR",Economic Development Board,Entry level,Contract,Closing on 31 May 2022,2 week(s) ago
School of Applied Science - Lecturer/Senior Lecturer (Plant Biotechnology),Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Applied Science - Lecturer/Senior Lecturer (Agriculture Science),Republic Polytechnic,Entry level,Permanent/Contract,Closing on 29 Mar 2022,1 week(s) ago
School of Applied Science - Research Staff (Agriculture Technology),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
JTC Summer Internship - Human Resources,JTC Corporation,Entry level,Internship,Closing in 5  day(s),2 week(s) ago
"Visiting Fellow, Climate Change in Southeast Asia Programme",ISEAS -Yusof Ishak Institute,03-05 year(s),Contract,Closing on 30 Mar 2022,2 week(s) ago
Lead Researcher (Energy/Climate),ISEAS -Yusof Ishak Institute,05-08 year(s),Contract,Closing on 30 Mar 2022,2 week(s) ago
Senior Officer - HR Planning & Innovation (1-Year Fixed Term Contract),Institute of Technical Education,Entry level,Permanent/Contract,Closing in 2  day(s),2 week(s) ago
Architect/Senior Architect,JTC Corporation,Entry level,Permanent/Contract,Closing in 5  day(s),2 week(s) ago
Digital Forensic Incident Response Analyst (Malware Analysis),Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),2 week(s) ago
"Lead, Digital Forensic (DFIR)",Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),2 week(s) ago
Lead/Senior Cybersecurity Specialist (CAM),Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),2 week(s) ago
"Assistant Director, People & Capability Building (Leadership Development)",Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),2 week(s) ago
Project Manager/Senior Project Manager (Network Infrastructure),National Library Board,Entry level,Fixed Terms,Closing on 22 Mar 2022,2 week(s) ago
"Manager - Senior Manager, Compliance Ops, Work Pass Division",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 26 Mar 2022,2 week(s) ago
"Manager, Operations Policy (1 Year Contract)",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 26 Mar 2022,2 week(s) ago
"Business Analyst, D@TI (2-Year Contract)",SkillsFuture Singapore,03-15 year(s),Permanent/Contract,Closing on 28 Mar 2022,1 week(s) ago
Executive,Sport Singapore,00-01 year(s),Contract,Closing in 6  day(s),1 week(s) ago
Adjunct Lecturer (Facility & Energy Management),Building and Construction Authority,05-00 year(s),Permanent/Contract,Closing in 4  day(s),1 week(s) ago
Social Worker (SDCD/SPSG),Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
Adjunct Lecturer (IDD/BIM)	,Building and Construction Authority,05-00 year(s),Permanent/Contract,Closing in 2  day(s),1 week(s) ago
Adjunct Lecturer (M&E Coordination),Building and Construction Authority,05-00 year(s),Permanent/Contract,Closing in 4  day(s),1 week(s) ago
Adjunct Lecturer (Design for Manufacturing & Assembly),Building and Construction Authority,05-00 year(s),Permanent/Contract,Closing in 2  day(s),1 week(s) ago
Senior / Executive Manager (Design for Manufacturing and Assembly Department),Building and Construction Authority,03-05 year(s),Permanent/Contract,Closing in 2  day(s),1 week(s) ago
Temp Finance Executive (Procurement) (Finance Department),Building and Construction Authority,01-00 year(s),Casual,Closing in 2  day(s),1 week(s) ago
Manager/ Senior Manager Talent & Leadership Development (1 year contract),Health Promotion Board,Entry level,Contract,Closing on 20 Mar 2022,1 week(s) ago
Security Infrastructure Project Manager (Cyber Threat Detection),Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),1 week(s) ago
Intern (Strategic Planning),Tote Board,Entry level,Internship,Closing today,1 week(s) ago
Senior Manager/ Manager (Properties & Facilities Maintenance),National Library Board,Entry level,Fixed Terms,Closing on 27 Mar 2022,1 week(s) ago
Intern (Corporate Services),Tote Board,Entry level,Internship,Closing today,1 week(s) ago
Intern (Corporate Communications),Tote Board,Entry level,Internship,Closing today,1 week(s) ago
"Intern (Development & Partnerships, Community)",Tote Board,Entry level,Internship,Closing today,1 week(s) ago
Cybersecurity Specialist (SOC),Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),1 week(s) ago
"Lead, Malware Analyst (DFIR)",Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),1 week(s) ago
Intern (Development & Partnerships - Capability & Capacity Building),Tote Board,Entry level,Internship,Closing today,1 week(s) ago
"Intern (Development & Partnerships, Social)",Tote Board,Entry level,Internship,Closing today,1 week(s) ago
Penetration Test & Vulnerability Assessment Specialist,Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),1 week(s) ago
Assistant Director/ Deputy Director (Strategic Communications),Maritime and Port Authority of Singapore,Entry level,Permanent,Closing on 31 Mar 2022,1 week(s) ago
Intern (Policy & Research),Tote Board,Entry level,Internship,Closing today,1 week(s) ago
"Manager/ Deputy Manager (Operations – Office Management), CSD #SGUnitedJobs",Attorney-General's Chambers,Entry level,Permanent/Contract,Closing in 2  day(s),1 week(s) ago
Grant Administrator,Sport Singapore,00-01 year(s),Contract,Closing in 6  day(s),1 week(s) ago
Senior / Principal Tax Auditor (eTRS) [Goods & Services Tax Division],Inland Revenue Authority of Singapore,Entry level,Permanent/Contract,Closing on 25 Mar 2022,1 week(s) ago
Project Director / Program Manager,Government Technology Agency,Entry level,Permanent,Closing on 28 Mar 2022,1 week(s) ago
"Assistant Manager to Senior Manager, Market Operations",Singapore Tourism Board,01-08 year(s),Permanent,Closing on 25 Mar 2022,1 week(s) ago
Estate Manager (Customer Relations),Housing and Development Board,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
Estate Manager (Housing Market Analysis),Housing and Development Board,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
"Assistant Manager/Manager/Senior Manager/Assistant Director (Media Relations, CD",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing in 3  day(s),1 week(s) ago
"Senior Executive/Manager, Strategic Planning & Resourcing",Sport Singapore,03-05 year(s),Contract,Closing in 4  day(s),1 week(s) ago
Academy for Continuing Education@RP - CET Course Administrator (Contract),Republic Polytechnic,Entry level,Contract,Closing on 29 Mar 2022,1 week(s) ago
Assistant Planning Officer - A&F,MHA - Singapore Police Force (SPF),Entry level,Permanent/Contract,Closing in 2  day(s),1 week(s) ago
Manager/Assistant Director (Strategic & Marketing Communications),Singapore Food Agency,Entry level,Permanent/Contract,Closing in 2  day(s),1 week(s) ago
